im_nbs,hidden_scrs,overf_best_scrs,best_ims
15_threshold_0.9,0.5638481319013765,0.2874475350894348,24_training
16_threshold_0.09,0.6978526688942382,0.7729348460006382,24_training
16_threshold_0.18,0.7723164608495047,0.8118434763861108,24_training
16_threshold_0.27,0.8155316854065395,0.810657937806874,24_training
16_threshold_0.36,0.835626862832139,0.8339043405541018,24_training
16_threshold_0.45,0.8391603660289914,0.8045337205550177,24_training
16_threshold_0.54,0.8250977283781593,0.8067373273124389,24_training
16_threshold_0.63,0.7929291958881737,0.7891161920042786,24_training
16_threshold_0.72,0.7399062577090699,0.7979903610075475,21_training
16_threshold_0.81,0.6694889094677426,0.7836867862969005,21_training
