im_nbs,hidden_scrs,overf_best_scrs,best_ims
13_threshold_0.27,0.802884882,0.830384286,24_training
13_threshold_0.36,0.823203597,0.815690048,24_training
13_threshold_0.45,0.828681089,0.823116296,21_training
13_threshold_0.54,0.817530793,0.815342254,21_training
13_threshold_0.63,0.787295787,0.798726738,21_training
13_threshold_0.72,0.741982174,0.794803415,36_training
13_threshold_0.81,0.672580448,0.764073175,37_training
13_threshold_0.9,0.567158884,0.287394572,24_training
14_threshold_0.09,0.654671298,0.782296225,24_training
14_threshold_0.18,0.734466672,0.800475859,24_training
14_threshold_0.27,0.7835661,0.797552087,24_training
14_threshold_0.36,0.814710042,0.818118743,24_training
14_threshold_0.45,0.831013057,0.777888256,33_training
14_threshold_0.54,0.829806914,0.781601687,24_training
14_threshold_0.63,0.811576863,0.7774865,21_training
14_threshold_0.72,0.774462271,0.774484782,35_training
14_threshold_0.81,0.711396011,0.77226466,21_training
14_threshold_0.9,0.60382478,0.724777836,28_training
15_threshold_0.09,0.649060095,0.771175774,32_training
15_threshold_0.18,0.733379624,0.77307969,26_training
15_threshold_0.27,0.779575578,0.768304505,26_training
15_threshold_0.36,0.807689394,0.76220923,26_training
15_threshold_0.45,0.820168135,0.778994497,40_training
15_threshold_0.54,0.818420653,0.786174455,35_training
15_threshold_0.63,0.798418605,0.767130621,29_training
15_threshold_0.72,0.759358289,0.769104194,29_training
15_threshold_0.81,0.691961624,0.758157427,29_training
15_threshold_0.9,0.563848132,0.287447535,24_training
16_threshold_0.09,0.697852669,0.772934846,24_training
16_threshold_0.18,0.772316461,0.811843476,24_training
16_threshold_0.27,0.815531685,0.810657938,24_training
16_threshold_0.36,0.835626863,0.833904341,24_training
16_threshold_0.45,0.839160366,0.804533721,24_training
16_threshold_0.54,0.825097728,0.806737327,24_training
16_threshold_0.63,0.792929196,0.789116192,24_training
16_threshold_0.72,0.739906258,0.797990361,21_training
16_threshold_0.81,0.669488909,0.783686786,21_training
16_threshold_0.9,0.566032309,0.713248487,39_training
